nohup: ignoring input
训练次数：10, Loss: 0.11157739162445068
训练次数：20, Loss: 0.1042906790971756
训练次数：30, Loss: 0.10493158549070358
训练次数：40, Loss: 0.0863553062081337
训练次数：50, Loss: 0.06382490694522858
训练次数：60, Loss: 0.07248549908399582
训练次数：70, Loss: 0.07655364274978638
训练次数：80, Loss: 0.06523378193378448
训练次数：90, Loss: 0.04784444347023964
训练次数：100, Loss: 0.07070961594581604
训练次数：110, Loss: 0.09294629842042923
训练次数：120, Loss: 0.06901125609874725
训练次数：130, Loss: 0.1246277391910553
训练次数：140, Loss: 0.11211279034614563
训练次数：150, Loss: 0.04967213794589043
训练次数：160, Loss: 0.04823657497763634
训练次数：170, Loss: 0.055992595851421356
训练次数：180, Loss: 0.16027618944644928
训练次数：190, Loss: 0.16702571511268616
训练次数：200, Loss: 0.0975758358836174
训练次数：210, Loss: 0.05670880526304245
训练次数：220, Loss: 0.04409296065568924
训练次数：230, Loss: 0.0631897896528244
训练次数：240, Loss: 0.0958036482334137
训练次数：250, Loss: 0.07488314062356949
训练次数：260, Loss: 0.05912180617451668
训练次数：270, Loss: 0.12304874509572983
训练次数：280, Loss: 0.06562101095914841
训练次数：290, Loss: 0.06303612142801285
训练次数：300, Loss: 0.08291026949882507
训练次数：310, Loss: 0.07040189206600189
训练次数：320, Loss: 0.07869881391525269
训练次数：330, Loss: 0.2363765388727188
训练次数：340, Loss: 0.06478419154882431
训练次数：350, Loss: 0.05222246050834656
训练次数：360, Loss: 0.1859637051820755
训练次数：370, Loss: 0.04718589037656784
训练次数：380, Loss: 0.08117645978927612
训练次数：390, Loss: 0.07384119927883148
训练次数：400, Loss: 0.04822605103254318
训练次数：410, Loss: 0.09495757520198822
训练次数：420, Loss: 0.06953319162130356
训练次数：430, Loss: 0.06764089316129684
训练次数：440, Loss: 0.08259867876768112
训练次数：450, Loss: 0.1025344505906105
训练次数：460, Loss: 0.06990361213684082
训练次数：470, Loss: 0.1360642910003662
训练次数：480, Loss: 0.2236730307340622
训练次数：490, Loss: 0.08121969550848007
训练次数：500, Loss: 0.10097608715295792
训练次数：510, Loss: 0.1426619440317154
训练次数：520, Loss: 0.07478559762239456
训练次数：530, Loss: 0.0849972814321518
训练次数：540, Loss: 0.16146798431873322
训练次数：550, Loss: 0.32393819093704224
训练次数：560, Loss: 0.200495183467865
训练次数：570, Loss: 0.044708795845508575
训练次数：580, Loss: 0.06705319136381149
训练次数：590, Loss: 0.04974672198295593
训练次数：600, Loss: 0.06907340884208679
训练次数：610, Loss: 0.12080591917037964
训练次数：620, Loss: 0.09868264943361282
训练次数：630, Loss: 0.07701154798269272
训练次数：640, Loss: 0.11814121901988983
训练次数：650, Loss: 0.03910398483276367
训练次数：660, Loss: 0.054456181824207306
训练次数：670, Loss: 0.052864667028188705
训练次数：680, Loss: 0.08568178117275238
训练次数：690, Loss: 0.029147032648324966
训练次数：700, Loss: 0.07268211245536804
训练次数：710, Loss: 0.06352917104959488
训练次数：720, Loss: 0.05223941430449486
训练次数：730, Loss: 0.24730487167835236
训练次数：740, Loss: 0.05659262835979462
训练次数：750, Loss: 0.03666501119732857
训练次数：760, Loss: 0.1242314949631691
训练次数：770, Loss: 0.05550144985318184
训练次数：780, Loss: 0.05888129398226738
训练次数：790, Loss: 0.04930133745074272
训练次数：800, Loss: 0.04726460576057434
